Country/Region,Province/State,Mapping Key,Mapping location
Afghanistan,,Afghanistan,Afghanistan
Albania,,Albania,Albania
Algeria,,Algeria,Algeria
Andorra,,Andorra,Andorra
Angola,,Angola,Angola
Antigua and Barbuda,,Antigua and Barbuda,Antigua and Barbuda
Argentina,,Argentina,Argentina
Armenia,,Armenia,Armenia
Australia,Australian Capital Territory,AustraliaAustralian Capital Territory,Australia
Australia,New South Wales,AustraliaNew South Wales,Australia
Australia,Northern Territory,AustraliaNorthern Territory,Australia
Australia,Queensland,AustraliaQueensland,Australia
Australia,South Australia,AustraliaSouth Australia,Australia
Australia,Tasmania,AustraliaTasmania,Australia
Australia,Victoria,AustraliaVictoria,Australia
Australia,Western Australia,AustraliaWestern Australia,Australia
Austria,,Austria,Austria
Azerbaijan,,Azerbaijan,Azerbaijan
Bahamas,,Bahamas,Bahamas
Bahrain,,Bahrain,Bahrain
Bangladesh,,Bangladesh,Bangladesh
Barbados,,Barbados,Barbados
Belarus,,Belarus,Belarus
Belgium,,Belgium,Belgium
Belize,,Belize,Belize
Benin,,Benin,Benin
Bhutan,,Bhutan,Bhutan
Bolivia,,Bolivia,Bolivia
Bosnia and Herzegovina,,Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,,Brazil,Brazil
Brunei,,Brunei,Brunei
Bulgaria,,Bulgaria,Bulgaria
Burkina Faso,,Burkina Faso,Burkina Faso
Cabo Verde,,Cabo Verde,Cape Verde
Cambodia,,Cambodia,Cambodia
Cameroon,,Cameroon,Cameroon
Canada,,Canada,Canada
Central African Republic,,Central African Republic,Central African Republic
Chad,,Chad,Chad
Chile,,Chile,Chile
China,Anhui,ChinaAnhui,China
China,Beijing,ChinaBeijing,China
China,Chongqing,ChinaChongqing,China
China,Fujian,ChinaFujian,China
China,Gansu,ChinaGansu,China
China,Guangdong,ChinaGuangdong,China
China,Guangxi,ChinaGuangxi,China
China,Guizhou,ChinaGuizhou,China
China,Hainan,ChinaHainan,China
China,Hebei,ChinaHebei,China
China,Heilongjiang,ChinaHeilongjiang,China
China,Henan,ChinaHenan,China
China,Hong Kong,ChinaHong Kong,Hong Kong
China,Hubei,ChinaHubei,China
China,Hunan,ChinaHunan,China
China,Inner Mongolia,ChinaInner Mongolia,China
China,Jiangsu,ChinaJiangsu,China
China,Jiangxi,ChinaJiangxi,China
China,Jilin,ChinaJilin,China
China,Liaoning,ChinaLiaoning,China
China,Macau,ChinaMacau,China
China,Ningxia,ChinaNingxia,China
China,Qinghai,ChinaQinghai,China
China,Shaanxi,ChinaShaanxi,China
China,Shandong,ChinaShandong,China
China,Shanghai,ChinaShanghai,China
China,Shanxi,ChinaShanxi,China
China,Sichuan,ChinaSichuan,China
China,Tianjin,ChinaTianjin,China
China,Tibet,ChinaTibet,China
China,Xinjiang,ChinaXinjiang,China
China,Yunnan,ChinaYunnan,China
China,Zhejiang,ChinaZhejiang,China
Colombia,,Colombia,Colombia
Congo (Brazzaville),,Congo (Brazzaville),Congo
Congo (Kinshasa),,Congo (Kinshasa),Democratic Republic of Congo
Costa Rica,,Costa Rica,Costa Rica
Cote d'Ivoire,,Cote d'Ivoire,Cote d'Ivoire
Croatia,,Croatia,Croatia
Diamond Princess,,Diamond Princess,Diamond Princess
Cuba,,Cuba,Cuba
Cyprus,,Cyprus,Cyprus
Czechia,,Czechia,Czech Republic
Denmark,Faroe Islands,DenmarkFaroe Islands,Faeroe Islands
Denmark,Greenland,DenmarkGreenland,Greenland
Denmark,,Denmark,Denmark
Djibouti,,Djibouti,Djibouti
Dominica,,Dominica,Dominica
Dominican Republic,,Dominican Republic,Dominican Republic
Ecuador,,Ecuador,Ecuador
Egypt,,Egypt,Egypt
El Salvador,,El Salvador,El Salvador
Equatorial Guinea,,Equatorial Guinea,Equatorial Guinea
Eritrea,,Eritrea,Eritrea
Estonia,,Estonia,Estonia
Eswatini,,Eswatini,Swaziland
Ethiopia,,Ethiopia,Ethiopia
Fiji,,Fiji,Fiji
Finland,,Finland,Finland
France,French Guiana,FranceFrench Guiana,France
France,French Polynesia,FranceFrench Polynesia,French Polynesia
France,Guadeloupe,FranceGuadeloupe,France
France,Martinique,FranceMartinique,France
France,Mayotte,FranceMayotte,France
France,New Caledonia,FranceNew Caledonia,New Caledonia
France,Reunion,FranceReunion,France
France,Saint Barthelemy,FranceSaint Barthelemy,France
France,St Martin,FranceSt Martin,France
France,,France,France
Gabon,,Gabon,Gabon
Gambia,,Gambia,Gambia
Georgia,,Georgia,Georgia
Germany,,Germany,Germany
Ghana,,Ghana,Ghana
Grenada,,Grenada,Grenada
Greece,,Greece,Greece
Guatemala,,Guatemala,Guatemala
Guinea,,Guinea,Guinea
Guinea-Bissau,,Guinea-Bissau,Guinea-Bissau
Guyana,,Guyana,Guyana
Haiti,,Haiti,Haiti
Holy See,,Holy See,Vatican
Honduras,,Honduras,Honduras
Hungary,,Hungary,Hungary
Iceland,,Iceland,Iceland
India,,India,India
Indonesia,,Indonesia,Indonesia
Iran,,Iran,Iran
Iraq,,Iraq,Iraq
Ireland,,Ireland,Ireland
Israel,,Israel,Israel
Italy,,Italy,Italy
Jamaica,,Jamaica,Jamaica
Japan,,Japan,Japan
Jordan,,Jordan,Jordan
Kazakhstan,,Kazakhstan,Kazakhstan
Kenya,,Kenya,Kenya
"Korea, South",,"Korea, South",South Korea
Kuwait,,Kuwait,Kuwait
Kyrgyzstan,,Kyrgyzstan,Kyrgyzstan
Latvia,,Latvia,Latvia
Lebanon,,Lebanon,Lebanon
Liberia,,Liberia,Liberia
Libya,,Libya,Libya
Liechtenstein,,Liechtenstein,Liechtenstein
Lithuania,,Lithuania,Lithuania
Luxembourg,,Luxembourg,Luxembourg
Madagascar,,Madagascar,Madagascar
Malaysia,,Malaysia,Malaysia
Maldives,,Maldives,Maldives
Mali,,Mali,Mali
Malta,,Malta,Malta
Mauritania,,Mauritania,Mauritania
Mauritius,,Mauritius,Mauritius
Mexico,,Mexico,Mexico
Moldova,,Moldova,Moldova
Monaco,,Monaco,Monaco
Mongolia,,Mongolia,Mongolia
Montenegro,,Montenegro,Montenegro
Morocco,,Morocco,Morocco
Mozambique,,Mozambique,Mozambique
Namibia,,Namibia,Namibia
Nepal,,Nepal,Nepal
